physicians,solver_time_sec,overall_time_sec,peak_memory_MB
3,0.0239,0.0689,180.91
4,0.1905,0.2214,185.42
5,0.4279,0.4798,186.69
6,0.4478,0.4852,188.14
7,1.155,1.1991,190.02
8,19.6563,19.7161,195.97
9,67.1877,67.2457,200.63
10,2443.6573,2443.7421,222.5
