sampler id:s,time
87a08235-156d-44be-9edc-493d4028fd21,489.0069811344147
1128e23d-9e28-45f1-a3fb-3e1d100a8290,524.7162320613861
95e2aeb5-0652-4695-977c-ac4dc86e8d01,487.8351538181305
1ef2a6df-5e69-4840-b2db-92277c537b25,447.9631130695343
c1878963-6cab-4875-a5c9-e637497b2a12,446.7161810398102
d82f23a3-58c0-4f3d-8ed2-c4bafe65ed58,436.5584750175476
1ae134aa-e402-4613-8734-0ad069391f48,462.4718232154846
263f8188-c972-4dd7-873f-5d590f7579bf,464.54210901260376
5a30f0a3-aa7c-4df2-b6c7-30700ea42773,519.9400742053986
4b0fdd62-8849-4992-986c-6287ed17c38a,453.04349994659424
9e4e7ae3-8355-4d7e-a3d5-2d666a7ff805,471.5738699436188
5aa03c01-74fb-4648-97a9-806eb3dbeccb,576.4842817783356
859112a7-ecb5-4ab7-a756-1a6b23e139dc,535.7687268257141
5b79bbde-fde8-4703-9ca4-67954d1083ae,596.0207340717316
6d501f5e-030a-4677-9ba4-f27c3284a618,540.6457631587982
50cd2252-4bbf-416b-96a7-7cdc7b6caa38,505.9406168460846
d843be5e-07b3-4ab7-8980-2094d1b0db54,650.4834198951721
f1d0d050-7be8-4b8c-a5e0-579bd2c20548,492.12007689476013
e3619d98-61bd-4782-9fdd-ebd2dbe3a298,567.3304648399353
b168ab26-9031-4782-a69a-7edbde183494,626.4092469215393
266bc054-6ed4-4be2-9b5e-99d99d9081f6,543.4595170021057
55f64bd7-3574-4492-a03b-f1c7a391f2e0,514.4712166786194
5a1c276a-0be3-433d-9f16-06ba7627ea9b,465.7265610694885
debe31e1-fb2c-40c2-9263-d843562e2787,488.5472319126129
054cbe8c-4bfc-4909-8de9-74c21a0a4ae0,478.041424036026
b4645e28-1f83-4d49-8fc1-3786645495ed,3310.963404893875
985c022e-2ef4-49d7-9e45-fcdfa0721743,1909.6493339538574
4af3621b-e3c1-4510-9810-b4916f5bb05c,1963.3473780155182
