date,demand,attractiveness,is_holiday,weekday,staff,shift covered
2025-06-01,5.0,0.196078431372549,True,Sunday,"['10', '8', '1']",NOT ok!
2025-06-02,11.0,0.0,False,Monday,"['13', '12', '10', '8', '7', '5', '3', '1', '0']",NOT ok!
2025-06-03,11.0,-0.0826446280991735,False,Tuesday,"['14', '13', '11', '9', '7', '6', '4', '1', '0']",NOT ok!
2025-06-04,11.0,0.2702702702702703,False,Wednesday,"['14', '12', '10', '8', '7', '5', '4', '3', '2', '0']",NOT ok!
2025-06-05,11.0,0.0,False,Thursday,"['13', '12', '11', '9', '8', '5', '4', '3', '2', '0']",NOT ok!
2025-06-06,5.0,0.196078431372549,True,Friday,"['12', '8', '7', '4', '0']",ok
2025-06-07,5.0,0.196078431372549,True,Saturday,"['11', '9', '7', '4', '0']",ok
2025-06-08,5.0,0.7843137254901962,True,Sunday,"['13', '12', '8', '6', '2']",ok
2025-06-09,11.0,-0.0826446280991735,False,Monday,"['14', '13', '12', '11', '8', '7', '5', '4', '3', '1', '0']",ok
2025-06-10,11.0,0.2479338842975206,False,Tuesday,"['13', '12', '11', '9', '8', '5', '3', '1', '0']",NOT ok!
2025-06-11,11.0,0.0900900900900901,False,Wednesday,"['14', '12', '11', '10', '9', '8', '5', '4', '2', '0']",NOT ok!
2025-06-12,11.0,0.0900900900900901,False,Thursday,"['14', '12', '11', '9', '8', '6', '5', '4', '3', '0']",NOT ok!
2025-06-13,11.0,0.3053435114503817,False,Friday,"['13', '12', '11', '9', '8', '6', '4', '3', '0']",NOT ok!
2025-06-14,5.0,0.0,True,Saturday,"['12', '11', '5', '3', '0']",ok
2025-06-15,5.0,0.0,True,Sunday,"['13', '11', '5', '4', '2']",ok
2025-06-16,11.0,0.1801801801801802,False,Monday,"['13', '12', '11', '9', '8', '5', '4', '3', '2', '0']",NOT ok!
2025-06-17,11.0,-0.2479338842975206,False,Tuesday,"['14', '11', '10', '9', '8', '7', '4', '3', '2', '1']",NOT ok!
2025-06-18,11.0,0.2127659574468085,False,Wednesday,"['14', '12', '11', '10', '9', '8', '7', '6', '4', '1', '0']",ok
2025-06-19,11.0,0.0900900900900901,False,Thursday,"['14', '12', '10', '8', '7', '6', '5', '3', '2', '0']",NOT ok!
2025-06-20,5.0,0.5882352941176471,True,Friday,"['13', '12', '8', '6', '2', '0']",NOT ok!
2025-06-21,5.0,0.2816901408450704,True,Saturday,"['11', '9', '6', '4', '0']",ok
2025-06-22,5.0,0.196078431372549,True,Sunday,"['11', '9', '7', '4']",NOT ok!
2025-06-23,11.0,-0.1526717557251908,False,Monday,"['14', '13', '12', '7', '6', '5', '4', '2', '0']",NOT ok!
2025-06-24,11.0,0.2702702702702703,False,Tuesday,"['14', '12', '11', '10', '8', '7', '5', '4', '1', '0']",NOT ok!
2025-06-25,11.0,0.0,False,Wednesday,"['14', '12', '11', '9', '7', '5', '4', '3', '1', '0']",NOT ok!
2025-06-26,11.0,0.1652892561983471,False,Thursday,"['14', '13', '12', '11', '9', '8', '7', '5', '4', '1', '0']",ok
2025-06-27,11.0,-0.0826446280991735,False,Friday,"['12', '11', '10', '9', '8', '7', '5', '4', '1', '0']",NOT ok!
2025-06-28,5.0,0.5633802816901409,True,Saturday,"['12', '10', '9', '5', '3', '2']",NOT ok!
