date,staff
2025-06-01,['3']
2025-06-02,"['2', '1']"
2025-06-03,"['3', '2']"
2025-06-04,"['1', '0']"
2025-06-05,"['3', '0']"
2025-06-06,['3']
2025-06-07,['3']
2025-06-08,['3']
2025-06-09,"['2', '1', '0']"
2025-06-10,"['2', '0']"
