date,demand,attractiveness,staff,shift covered
2025-06-01,6,-0.3278688524590164,"['0', '2', '3', '7', '9', '10']",ok
2025-06-02,11,0.0,"['0', '1', '2', '3', '7', '9', '10', '11', '12', '13', '14']",ok
2025-06-03,11,0.0900900900900901,"['0', '1', '4', '6', '7', '8', '9', '10', '11', '13', '14']",ok
2025-06-04,11,0.2702702702702703,"['1', '2', '3', '4', '5', '6', '8', '10', '11', '12', '13']",ok
2025-06-05,11,0.0900900900900901,"['0', '2', '3', '5', '6', '8', '9', '11', '12', '13', '14']",ok
2025-06-06,6,0.4918032786885246,"['2', '5', '6', '8', '11', '14']",ok
2025-06-07,6,0.3278688524590164,"['5', '6', '7', '9', '11', '14']",ok
2025-06-08,6,0.0,"['1', '3', '4', '8', '9', '13']",ok
2025-06-09,11,0.0,"['0', '1', '2', '4', '5', '6', '7', '9', '12', '13', '14']",ok
2025-06-10,11,0.1801801801801802,"['1', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13']",ok
2025-06-11,11,0.0900900900900901,"['0', '2', '3', '4', '6', '7', '8', '10', '12', '13', '14']",ok
2025-06-12,11,0.1801801801801802,"['0', '1', '2', '3', '4', '7', '8', '10', '11', '12', '14']",ok
