date,demand,attractiveness,is_holiday,weekday,staff,shift covered
2025-06-01,1.0,0.0,True,Sunday,['3'],ok
2025-06-02,2.0,0.4761904761904761,False,Monday,"['1', '0']",ok
2025-06-03,2.0,-0.4761904761904761,False,Tuesday,"['2', '0']",ok
2025-06-04,2.0,0.0,False,Wednesday,"['3', '2']",ok
2025-06-05,2.0,0.4761904761904761,False,Thursday,"['1', '0']",ok
2025-06-06,1.0,0.0,True,Friday,['3'],ok
2025-06-07,1.0,0.0,True,Saturday,['3'],ok
2025-06-08,1.0,0.9090909090909092,True,Sunday,['3'],ok
2025-06-09,2.0,0.4761904761904761,False,Monday,"['2', '0']",ok
2025-06-10,2.0,0.0,False,Tuesday,"['2', '1', '0']",NOT ok!
