date,staff
2025-06-01,['3']
2025-06-02,"['2', '1', '0']"
2025-06-03,"['3', '2', '1']"
2025-06-04,"['2', '1', '0']"
2025-06-05,"['3', '2', '1', '0']"
2025-06-06,['3']
2025-06-07,['1']
