date,staff
2025-06-01,"['8', '1']"
2025-06-02,"['9', '8', '7', '4', '3', '2', '0']"
2025-06-03,"['9', '7', '6', '5', '3', '1', '0']"
2025-06-04,"['8', '6', '5', '4', '2', '0']"
2025-06-05,"['8', '6', '5', '4', '2', '1']"
2025-06-06,"['9', '4', '2']"
2025-06-07,"['7', '5', '0']"
2025-06-08,"['9', '7', '3', '1']"
2025-06-09,"['9', '8', '6', '4', '3', '2', '0']"
2025-06-10,"['8', '6', '5', '4', '1', '0']"
2025-06-11,"['8', '7', '5', '3', '2', '0']"
2025-06-12,"['9', '8', '6', '5', '4', '2', '0']"
2025-06-13,"['8', '6', '4', '3', '1', '0']"
2025-06-14,"['9', '8', '5', '1']"
