date,staff
2025-06-22,"['1', '0']"
2025-06-23,"['1', '0']"
2025-06-24,[]
2025-06-25,"['1', '0']"
2025-06-26,['1']
2025-06-27,['0']
2025-06-28,"['1', '0']"
