date,staff
2025-06-01,"['6', '3', '0']"
2025-06-02,"['9', '8', '7', '5', '3', '2', '1']"
2025-06-03,"['9', '8', '7', '5', '4', '2', '1']"
2025-06-04,"['9', '7', '6', '4', '3', '1', '0']"
2025-06-05,"['9', '8', '6', '5', '3', '2', '1']"
2025-06-06,"['6', '3', '2']"
2025-06-07,"['8', '4', '0']"
2025-06-08,"['7', '5', '2']"
2025-06-09,"['9', '8', '7', '4', '3', '1', '0']"
2025-06-10,"['9', '7', '6', '4', '3', '2', '0']"
2025-06-11,"['9', '8', '6', '4', '3', '2', '0']"
2025-06-12,"['9', '8', '6', '5', '3', '2', '0']"
2025-06-13,"['7', '6', '5', '4', '1', '0']"
2025-06-14,"['9', '7', '5', '2']"
2025-06-15,"['8', '5', '0']"
2025-06-16,"['9', '8', '7', '4', '3', '2', '0']"
2025-06-17,"['9', '7', '6', '4', '3', '2', '0']"
2025-06-18,"['9', '8', '6', '5', '3', '2', '0']"
2025-06-19,"['9', '8', '7', '5', '3', '2', '0']"
2025-06-20,"['8', '5', '1']"
2025-06-21,"['8', '3', '0']"
2025-06-22,"['8', '3', '2']"
2025-06-23,"['9', '8', '7', '4', '3', '2', '0']"
2025-06-24,"['9', '7', '6', '4', '3', '1', '0']"
2025-06-25,"['9', '8', '7', '5', '3', '2', '0']"
2025-06-26,"['9', '7', '6', '5', '4', '1', '0']"
2025-06-27,"['9', '7', '6', '5', '4', '2', '0']"
2025-06-28,"['9', '5', '0']"
