date,staff
2025-06-01,"['12', '10', '6', '3']"
2025-06-02,"['14', '13', '11', '10', '9', '8', '5', '3', '2', '1']"
2025-06-03,"['14', '11', '10', '9', '8', '5', '3', '2', '0']"
2025-06-04,"['14', '12', '11', '8', '7', '5', '4', '3', '1']"
2025-06-05,"['13', '12', '11', '9', '6', '5', '4', '2', '1']"
2025-06-06,"['11', '7', '4']"
2025-06-07,"['14', '13', '5', '0']"
2025-06-08,"['11', '10', '7', '6', '3', '2']"
2025-06-09,"['14', '13', '12', '9', '8', '7', '3', '2', '1']"
2025-06-10,"['14', '13', '12', '9', '8', '7', '6', '4', '3', '2']"
2025-06-11,"['14', '12', '11', '8', '7', '5', '4', '3', '2', '0']"
2025-06-12,"['14', '11', '10', '9', '8', '7', '6', '4', '3', '2']"
2025-06-13,"['12', '11', '10', '7', '6', '5', '4', '2', '0']"
2025-06-14,"['14', '12', '5', '2', '0']"
2025-06-15,"['11', '10', '9', '8', '4']"
2025-06-16,"['13', '12', '10', '9', '7', '6', '4', '1', '0']"
2025-06-17,"['14', '12', '11', '9', '7', '6', '3', '2', '0']"
2025-06-18,"['14', '13', '10', '9', '8', '6', '5', '3', '2', '0']"
2025-06-19,"['13', '12', '11', '8', '6', '5', '4', '2', '0']"
2025-06-20,"['10', '8', '5', '4', '2']"
2025-06-21,"['14', '8', '1', '0']"
2025-06-22,"['13', '10', '7', '5', '2']"
2025-06-23,"['13', '12', '10', '9', '8', '5', '4', '2', '1', '0']"
2025-06-24,"['14', '12', '11', '9', '8', '7', '3', '1', '0']"
2025-06-25,"['13', '11', '10', '9', '7', '5', '3', '2', '1', '0']"
2025-06-26,"['12', '11', '10', '9', '7', '5', '4', '3', '0']"
2025-06-27,"['14', '13', '12', '9', '7', '6', '4', '3', '2']"
2025-06-28,"['13', '12', '9', '5', '2']"
