date,staff
2025-06-01,"['14', '12', '8', '6', '3']"
2025-06-02,"['14', '13', '11', '9', '6', '5', '3', '2', '1']"
2025-06-03,"['14', '11', '10', '9', '8', '5', '4', '3', '2', '1']"
2025-06-04,"['14', '13', '12', '10', '9', '8', '5', '4', '3', '2']"
2025-06-05,"['12', '11', '10', '9', '8', '7', '5', '4', '3', '2']"
2025-06-06,"['11', '10', '6', '5', '0']"
2025-06-07,"['13', '11', '8', '7', '0']"
2025-06-08,"['10', '7', '6', '2']"
2025-06-09,"['14', '13', '12', '9', '8', '7', '3', '2', '1', '0']"
2025-06-10,"['14', '12', '11', '9', '8', '6', '4', '3', '2', '0']"
2025-06-11,"['14', '12', '11', '8', '7', '5', '4', '3', '2', '0']"
2025-06-12,"['14', '13', '11', '10', '9', '8', '5', '4', '2', '1']"
2025-06-13,"['13', '12', '11', '7', '6', '5', '4', '2', '1', '0']"
2025-06-14,"['13', '9', '7', '3', '1']"
2025-06-15,"['14', '12', '7', '6', '0']"
2025-06-16,"['12', '11', '10', '9', '8', '7', '5', '4', '2', '0']"
2025-06-17,"['14', '12', '11', '8', '7', '6', '4', '3', '2', '0']"
2025-06-18,"['14', '13', '10', '9', '7', '6', '3', '2', '0']"
2025-06-19,"['14', '12', '11', '9', '8', '7', '6', '5', '4', '3', '0']"
2025-06-20,"['12', '10', '5', '2', '1']"
2025-06-21,"['14', '13', '8', '5', '0']"
2025-06-22,"['12', '10', '7', '3', '0']"
2025-06-23,"['14', '13', '12', '10', '9', '8', '5', '3', '2', '1', '0']"
2025-06-24,"['14', '12', '11', '10', '9', '8', '7', '6', '4', '3', '1']"
2025-06-25,"['14', '11', '10', '9', '8', '7', '3', '2', '0']"
2025-06-26,"['12', '11', '10', '9', '7', '6', '5', '4', '3', '1', '0']"
2025-06-27,"['14', '13', '12', '10', '7', '6', '5', '4', '3', '0']"
2025-06-28,"['13', '11', '5', '1']"
