date,staff
2025-03-03,"[0, 1]"
2025-03-04,"[1, 2]"
2025-03-05,"[0, 2]"
2025-03-06,"[1, 2]"
2025-03-07,"[0, 2]"
2025-03-08,[1]
2025-03-09,[0]
