name,title,extent,shifts worked,work rate,prefer,prefer not,unavailable,satisfaction,worked last,prefer t0,prefer not t0,unavailable t0
physician0,AT,100,5,1.0,['2025-06-26'],['2025-06-24'],[],-1.8181818181818183,1,[4],[2],[]
physician1,AT,100,5,1.0,"['2025-06-25', '2025-06-28']",['2025-06-27'],[],3.909090909090909,1,"[3, 6]",[5],[]
