counted costs,random Hc,# variables,time
"(array([5.861e+03, 1.319e+03, 5.202e+03, 3.224e+03, 0.000e+00, 3.030e+02,
       9.700e+02, 0.000e+00, 5.160e+02, 0.000e+00, 0.000e+00, 2.180e+02,
       4.750e+02, 4.820e+02, 1.870e+02, 2.710e+02, 0.000e+00, 1.600e+01,
       9.700e+01, 0.000e+00, 5.900e+01, 0.000e+00, 2.210e+02, 0.000e+00,
       2.870e+02, 6.000e+01, 6.300e+01, 6.800e+01, 0.000e+00, 0.000e+00,
       6.200e+01, 0.000e+00, 0.000e+00, 0.000e+00, 2.800e+01, 0.000e+00,
       0.000e+00, 5.000e+00, 0.000e+00, 6.000e+00]), array([-19.5  , -18.175, -16.85 , -15.525, -14.2  , -12.875, -11.55 ,
       -10.225,  -8.9  ,  -7.575,  -6.25 ,  -4.925,  -3.6  ,  -2.275,
        -0.95 ,   0.375,   1.7  ,   3.025,   4.35 ,   5.675,   7.   ,
         8.325,   9.65 ,  10.975,  12.3  ,  13.625,  14.95 ,  16.275,
        17.6  ,  18.925,  20.25 ,  21.575,  22.9  ,  24.225,  25.55 ,
        26.875,  28.2  ,  29.525,  30.85 ,  32.175,  33.5  ]), <BarContainer object of 40 artists>)","(array([1519.,  640., 1531., 1563.,    0.,  298.,  639.,    0.,  334.,
          0.,    0.,  289., 1241., 2446.,  642.,  640.,    0.,  593.,
        922.,    0.,  641.,    0.,  974.,    0., 1914.,  318.,  610.,
        643.,    0.,    0.,  626.,    0.,    0.,    0.,  350.,    0.,
          0.,  308.,    0.,  319.]), array([-19.5  , -18.175, -16.85 , -15.525, -14.2  , -12.875, -11.55 ,
       -10.225,  -8.9  ,  -7.575,  -6.25 ,  -4.925,  -3.6  ,  -2.275,
        -0.95 ,   0.375,   1.7  ,   3.025,   4.35 ,   5.675,   7.   ,
         8.325,   9.65 ,  10.975,  12.3  ,  13.625,  14.95 ,  16.275,
        17.6  ,  18.925,  20.25 ,  21.575,  22.9  ,  24.225,  25.55 ,
        26.875,  28.2  ,  29.525,  30.85 ,  32.175,  33.5  ]), <BarContainer object of 40 artists>)",9,14
"(array([2.796e+03, 4.281e+03, 0.000e+00, 8.552e+03, 3.680e+02, 2.359e+03,
       3.590e+02, 2.600e+01, 2.530e+02, 1.640e+02, 9.700e+01, 1.040e+02,
       2.070e+02, 1.100e+02, 7.600e+01, 6.100e+01, 4.100e+01, 1.600e+01,
       4.800e+01, 1.300e+01, 2.500e+01, 4.000e+00, 9.000e+00, 0.000e+00,
       5.000e+00, 3.000e+00, 3.000e+00, 2.000e+00, 8.000e+00, 2.000e+00,
       1.000e+00, 1.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00,
       1.000e+00, 4.000e+00, 0.000e+00, 1.000e+00]), array([-62.5 , -58.35, -54.2 , -50.05, -45.9 , -41.75, -37.6 , -33.45,
       -29.3 , -25.15, -21.  , -16.85, -12.7 ,  -8.55,  -4.4 ,  -0.25,
         3.9 ,   8.05,  12.2 ,  16.35,  20.5 ,  24.65,  28.8 ,  32.95,
        37.1 ,  41.25,  45.4 ,  49.55,  53.7 ,  57.85,  62.  ,  66.15,
        70.3 ,  74.45,  78.6 ,  82.75,  86.9 ,  91.05,  95.2 ,  99.35,
       103.5 ]), <BarContainer object of 40 artists>)","(array([ 229.,  489.,  323.,  668., 1805.,  761.,  786., 1644.,  721.,
       1274., 1726.,  537.,  998.,  558.,  707., 1753.,  553.,  409.,
        351.,  405.,  616.,  473.,  791.,  326.,   86.,  220.,    0.,
          0.,    0.,  235.,  314.,    0.,   86.,   69.,    0.,    0.,
          0.,    0.,    0.,   87.]), array([-62.5, -57.4, -52.3, -47.2, -42.1, -37. , -31.9, -26.8, -21.7,
       -16.6, -11.5,  -6.4,  -1.3,   3.8,   8.9,  14. ,  19.1,  24.2,
        29.3,  34.4,  39.5,  44.6,  49.7,  54.8,  59.9,  65. ,  70.1,
        75.2,  80.3,  85.4,  90.5,  95.6, 100.7, 105.8, 110.9, 116. ,
       121.1, 126.2, 131.3, 136.4, 141.5]), <BarContainer object of 40 artists>)",12,19
