# variables,counted costs,counted costs random,bins,time
60,"[2.400e+01 1.960e+02 5.170e+02 1.142e+03 2.073e+03 3.262e+03 4.364e+03
 5.359e+03 6.328e+03 6.692e+03 7.566e+03 7.529e+03 7.089e+03 7.182e+03
 6.561e+03 6.019e+03 5.050e+03 4.317e+03 3.919e+03 3.200e+03 2.656e+03
 2.059e+03 1.662e+03 1.247e+03 1.044e+03 7.770e+02 5.340e+02 4.930e+02
 3.300e+02 2.350e+02 1.670e+02 1.210e+02 9.400e+01 7.900e+01 3.100e+01
 3.200e+01 1.700e+01 1.200e+01 9.000e+00 6.000e+00 3.000e+00 1.000e+00
 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]","[2.600e+01 1.920e+02 5.610e+02 1.175e+03 2.064e+03 3.291e+03 4.238e+03
 5.270e+03 6.357e+03 6.756e+03 7.249e+03 7.318e+03 7.004e+03 7.105e+03
 6.410e+03 5.868e+03 5.140e+03 4.461e+03 4.032e+03 3.202e+03 2.673e+03
 2.131e+03 1.707e+03 1.398e+03 1.126e+03 8.310e+02 6.570e+02 5.290e+02
 3.380e+02 2.530e+02 1.730e+02 1.440e+02 1.130e+02 6.500e+01 3.900e+01
 3.400e+01 2.500e+01 1.400e+01 8.000e+00 1.000e+01 4.000e+00 6.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00]","[-759.  -702.1 -645.2 -588.3 -531.4 -474.5 -417.6 -360.7 -303.8 -246.9
 -190.  -133.1  -76.2  -19.3   37.6   94.5  151.4  208.3  265.2  322.1
  379.   435.9  492.8  549.7  606.6  663.5  720.4  777.3  834.2  891.1
  948.  1004.9 1061.8 1118.7 1175.6 1232.5 1289.4 1346.3 1403.2 1460.1
 1517.  1573.9 1630.8 1687.7 1744.6 1801.5 1858.4 1915.3 1972.2 2029.1
 2086. ]",4646
90,"[1.470e+02 8.860e+02 2.322e+03 4.208e+03 6.107e+03 7.767e+03 8.902e+03
 9.262e+03 9.139e+03 8.731e+03 7.986e+03 7.137e+03 6.017e+03 4.923e+03
 3.932e+03 3.152e+03 2.425e+03 1.946e+03 1.436e+03 1.053e+03 7.650e+02
 5.300e+02 3.900e+02 2.680e+02 1.890e+02 1.300e+02 8.900e+01 4.600e+01
 4.100e+01 2.400e+01 2.000e+01 5.000e+00 1.000e+01 6.000e+00 2.000e+00
 3.000e+00 4.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]","[0.000e+00 3.000e+00 1.200e+01 2.700e+01 1.140e+02 2.780e+02 5.840e+02
 1.047e+03 1.681e+03 2.506e+03 3.426e+03 4.357e+03 5.293e+03 5.987e+03
 6.755e+03 7.129e+03 6.834e+03 7.083e+03 6.838e+03 6.198e+03 5.688e+03
 5.251e+03 4.214e+03 3.900e+03 3.161e+03 2.689e+03 2.149e+03 1.720e+03
 1.368e+03 9.770e+02 7.260e+02 5.700e+02 4.100e+02 3.100e+02 2.000e+02
 1.560e+02 1.250e+02 9.100e+01 4.800e+01 3.300e+01 2.200e+01 1.600e+01
 6.000e+00 1.100e+01 5.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.000e+00]","[-2.15500e+03 -2.03548e+03 -1.91596e+03 -1.79644e+03 -1.67692e+03
 -1.55740e+03 -1.43788e+03 -1.31836e+03 -1.19884e+03 -1.07932e+03
 -9.59800e+02 -8.40280e+02 -7.20760e+02 -6.01240e+02 -4.81720e+02
 -3.62200e+02 -2.42680e+02 -1.23160e+02 -3.64000e+00  1.15880e+02
  2.35400e+02  3.54920e+02  4.74440e+02  5.93960e+02  7.13480e+02
  8.33000e+02  9.52520e+02  1.07204e+03  1.19156e+03  1.31108e+03
  1.43060e+03  1.55012e+03  1.66964e+03  1.78916e+03  1.90868e+03
  2.02820e+03  2.14772e+03  2.26724e+03  2.38676e+03  2.50628e+03
  2.62580e+03  2.74532e+03  2.86484e+03  2.98436e+03  3.10388e+03
  3.22340e+03  3.34292e+03  3.46244e+03  3.58196e+03  3.70148e+03
  3.82100e+03]",4646
120,"[3.1000e+01 2.7800e+02 1.1160e+03 2.6980e+03 4.9340e+03 7.2890e+03
 9.4210e+03 1.0416e+04 1.1058e+04 1.0630e+04 9.4670e+03 8.2530e+03
 6.4900e+03 5.0830e+03 4.0450e+03 2.8890e+03 2.0460e+03 1.3950e+03
 9.1300e+02 5.9900e+02 3.8000e+02 2.4800e+02 1.4600e+02 7.2000e+01
 4.7000e+01 2.5000e+01 1.5000e+01 9.0000e+00 4.0000e+00 3.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00]","[0.000e+00 0.000e+00 0.000e+00 2.000e+00 1.700e+01 4.100e+01 1.520e+02
 3.770e+02 7.520e+02 1.316e+03 2.209e+03 3.058e+03 4.389e+03 5.445e+03
 6.505e+03 7.156e+03 8.036e+03 8.129e+03 7.993e+03 7.575e+03 6.891e+03
 6.081e+03 5.302e+03 4.342e+03 3.512e+03 2.877e+03 2.155e+03 1.694e+03
 1.232e+03 8.310e+02 6.470e+02 4.260e+02 2.900e+02 2.020e+02 1.240e+02
 9.300e+01 5.800e+01 3.800e+01 2.300e+01 1.200e+01 8.000e+00 4.000e+00
 2.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00
 1.000e+00]","[-3997.   -3782.52 -3568.04 -3353.56 -3139.08 -2924.6  -2710.12 -2495.64
 -2281.16 -2066.68 -1852.2  -1637.72 -1423.24 -1208.76  -994.28  -779.8
  -565.32  -350.84  -136.36    78.12   292.6    507.08   721.56   936.04
  1150.52  1365.    1579.48  1793.96  2008.44  2222.92  2437.4   2651.88
  2866.36  3080.84  3295.32  3509.8   3724.28  3938.76  4153.24  4367.72
  4582.2   4796.68  5011.16  5225.64  5440.12  5654.6   5869.08  6083.56
  6298.04  6512.52  6727.  ]",4646
